item_id,cluster_id,membership_prob,cosine_to_centroid,category,modality,source_tag,file_path
doc_animal_image_0528076d7968,-1,0.0,,animal,image,animal-photo,data/animal-photo/e030b2092ce90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg
doc_animal_image_99c5dc5e8c43,-1,0.0,,animal,image,animal-photo,data/animal-photo/e032b10b2df21c22d2524518b7444f92e37fe5d404b0144390f8c07aa5ecb6_640.jpg
doc_animal_image_b121241fe13e,-1,0.0,,animal,image,animal-photo,data/animal-photo/e83cb00a2ef1053ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efbcb0_640.jpg
doc_animal_image_c87878c0d075,-1,0.0,,animal,image,animal-photo,data/animal-photo/OIP--jr8OiL18jgRMtRJts69ugHaFj.jpeg
doc_diploma_image_8578ad09002e,-1,0.0,,diploma,image,diploma-photo,data/diploma-photo/Certificate-of-Painiting-Award-201728129.jpg
doc_food_image_1447abcd2f12,-1,0.0,,food,image,food-photo,data/food-photo/PMD-food_photo-0014.jpg
doc_food_image_49f189536297,-1,0.0,,food,image,food-photo,data/food-photo/PMD-food_photo-0013.jpg
doc_food_image_509a23834783,-1,0.0,,food,image,food-photo,data/food-photo/PMD-food_photo-0015.jpg
doc_food_image_a943b2be3cb3,-1,0.0,,food,image,food-photo,data/food-photo/PMD-food_photo-0001.jpg
doc_food_image_fb265dfaaac4,-1,0.0,,food,image,food-photo,data/food-photo/PMD-food_photo-0006.jpg
doc_food_image_fd148d5aa82d,-1,0.0,,food,image,food-photo,data/food-photo/PMD-food_photo-0011.jpg
doc_animal_image_c8d8e0207098,0,1.0,0.7854568158272445,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0020.jpg
doc_animal_image_d9b618602c11,0,1.0,0.7792878979910238,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0004.jpg
doc_animal_image_42ca83790b57,0,1.0,0.7686573347776466,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0002.jpg
doc_animal_image_1f90843f8d03,0,1.0,0.756723525250115,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0013.jpg
doc_animal_image_99ce14b2c6df,0,1.0,0.7392644638733246,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0014.jpg
doc_animal_image_d801754152fb,0,1.0,0.7365511866349533,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0005.jpg
doc_animal_image_73d09c91b1c2,0,1.0,0.7074963080026757,animal,image,animal-photo,data/animal-photo/e83db70828f1053ed1584d05fb1d4e9fe777ead218ac104497f5c978a6eab2b0_640.jpg
doc_animal_image_0a1ef3d73d91,0,1.0,0.706503015963671,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0009.jpg
doc_animal_image_1c57a2103d4f,0,1.0,0.706215627205071,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0008.jpg
doc_animal_image_fdc13c568dee,0,1.0,0.6962423614654978,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0016.jpg
doc_animal_image_f5002fa14cc5,0,1.0,0.6935418526172303,animal,image,animal-photo,data/animal-photo/e83db30d29f7063ed1584d05fb1d4e9fe777ead218ac104497f5c978a6e8b0b1_640.jpg
doc_animal_image_f998fe48be2a,0,1.0,0.6901591975153185,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0023.jpg
doc_animal_image_afb5962641c3,0,1.0,0.6891892627884508,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0010.jpg
doc_animal_image_5351aa836c45,0,1.0,0.6840630119668099,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0011.jpg
doc_animal_image_8027134bb457,0,1.0,0.6821544559934201,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0006.jpg
doc_animal_image_df213433931f,0,1.0,0.6817705600649387,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0015.jpg
doc_animal_image_268173531bd2,0,1.0,0.6776853298939673,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0025.jpg
doc_animal_image_10d1d4449c11,0,1.0,0.6772059645254459,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0021.jpg
doc_animal_image_570fce42cc91,0,1.0,0.6681179576783614,animal,image,animal-photo,data/animal-photo/OIP---MGqQIhmz3OEPYP-46_xwHaFj.jpeg
doc_animal_image_82c25779eb3c,0,1.0,0.6575056118324825,animal,image,animal-photo,data/animal-photo/OIP--2wbTZUIHhYse3zlp1S4WQHaJ3.jpeg
doc_animal_image_f08fc89ac300,0,1.0,0.6460015985997367,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0018.jpg
doc_animal_image_9efff2895a5d,0,1.0,0.6414641227669091,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0019.jpg
doc_animal_image_1a03aff10a6a,0,1.0,0.6358639788589004,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0001.jpg
doc_animal_image_16a25945674d,0,1.0,0.6357265988849778,animal,image,animal-photo,data/animal-photo/OIP--DTVnqj-HKjAEvLxZyOYGQHaFP.jpeg
doc_animal_image_d34fee8adac2,0,1.0,0.6346469963814825,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0017.jpg
doc_animal_image_6d863c2ed946,0,1.0,0.6319116627060652,animal,image,animal-photo,data/animal-photo/6.jpeg
doc_animal_image_e7de8a27a2ba,0,1.0,0.6304470814157912,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0003.jpg
doc_animal_image_29cd3b93eafb,0,1.0,0.6303760644005827,animal,image,animal-photo,data/animal-photo/OIP--5YhTv41EQikJq2qdaMQ0AHaF8.jpeg
doc_animal_image_6362a68269e7,0,1.0,0.6059556961545596,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0022.jpg
doc_animal_image_49b9ae0ae71a,0,0.9344350054817723,0.6005576377249069,animal,image,animal-photo,data/animal-photo/5.jpeg
doc_animal_image_e33c0fd621cd,0,0.9270705764164477,0.5786816479532814,animal,image,animal-photo,data/animal-photo/OIP-0FHHBZQRsahkBa3TGgOA1QHaE8.jpeg
doc_animal_image_d6fbec0e1a21,0,1.0,0.5590070185279461,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0012.jpg
doc_animal_image_7396e0d7fbcd,0,1.0,0.5568227313624983,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0024.jpg
doc_animal_image_3b1ec200a295,0,0.93377999760209,0.5541001825416454,animal,image,animal-photo,data/animal-photo/PMD-pet_photo-0007.jpg
doc_animal_image_8b7cf0da7632,0,1.0,0.547519480403245,animal,image,animal-photo,data/animal-photo/OIP--1hNp1smpwT06GTxZbUVwgHaFi.jpeg
doc_animal_image_b49204fcf70e,0,0.840391271753017,0.5462368399975772,animal,image,animal-photo,data/animal-photo/e030b20a20e90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg
doc_animal_image_0802d8645a24,0,1.0,0.5258033797139305,animal,image,animal-photo,data/animal-photo/OIP--e77uBraw9yR8NL4ATG1TAHaE8.jpeg
doc_animal_image_e64f30dc7bc1,0,0.8284996636009433,0.4845139675585203,animal,image,animal-photo,data/animal-photo/e030b2092be90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg
doc_animal_image_e838d3a2ecc5,0,0.9038974817191555,0.42161876768463324,animal,image,animal-photo,data/animal-photo/OIP---sK_NCo5VFiDavIY-pUdgHaFB.jpeg
doc_animal_image_94fdac3847c9,0,1.0,0.4184553320580725,animal,image,animal-photo,data/animal-photo/e83cb00a2ef1083ed1584d05fb1d4e9fe777ead218ac104497f5c978a4eebdbd_640.jpg
doc_car_image_8603e85b0abb,1,1.0,0.7655898096868214,car,image,car-photo,data/car-photo/PMD-car_photo-0014.jpg
doc_car_image_40922ba90176,1,1.0,0.7635779128884062,car,image,car-photo,data/car-photo/PMD-car_photo-0008.jpg
doc_car_image_fa780873f1d5,1,1.0,0.7461536096346537,car,image,car-photo,data/car-photo/PMD-car_photo-0010.jpg
doc_car_image_13664156d369,1,1.0,0.7448954697918417,car,image,car-photo,data/car-photo/PMD-car_photo-0005.jpg
doc_car_image_89cdbc66c8a1,1,1.0,0.7271811535068923,car,image,car-photo,data/car-photo/PMD-car_photo-0006.jpg
doc_car_image_3535907ded9e,1,1.0,0.7109772302387243,car,image,car-photo,data/car-photo/PMD-car_photo-0012.jpg
doc_car_image_64cf9f745eeb,1,0.9816608799843025,0.7099045967470288,car,image,car-photo,data/car-photo/PMD-car_photo-0013.jpg
doc_car_image_e023bf5bde91,1,1.0,0.7051326844672663,car,image,car-photo,data/car-photo/PMD-car_photo-0003.jpg
doc_car_image_ccd3412c16d6,1,0.9741047283170902,0.696319977122406,car,image,car-photo,data/car-photo/PMD-car_photo-0001.jpg
doc_car_image_3a7570a4f989,1,1.0,0.6891293713381219,car,image,car-photo,data/car-photo/PMD-car_photo-0007.jpg
doc_car_image_f3d33926bfe8,1,1.0,0.6883872241548938,car,image,car-photo,data/car-photo/PMD-car_photo-0009.jpg
doc_car_image_621beae2c456,1,0.898055513091281,0.675712991704785,car,image,car-photo,data/car-photo/PMD-car_photo-0002.jpg
doc_car_image_53459581b08b,1,0.9127250423326494,0.6673764700097919,car,image,car-photo,data/car-photo/PMD-car_photo-0011.jpg
doc_car_image_7e6fe4eabd00,1,0.94229243276125,0.6587163616750207,car,image,car-photo,data/car-photo/PMD-car_photo-0004.jpg
doc_car_image_4be0b651b9ae,1,1.0,0.651818016144718,car,image,car-photo,data/car-photo/PMD-car_photo-0015.jpg
doc_food_image_301d473d88b5,2,1.0,0.7666017255225795,food,image,food-photo,data/food-photo/PMD-food_photo-0007.jpg
doc_food_image_9e04f01d4df1,2,1.0,0.7657937682444912,food,image,food-photo,data/food-photo/PMD-food_photo-0009.jpg
doc_food_image_9045be02ce02,2,0.9756722444416308,0.7345837979024903,food,image,food-photo,data/food-photo/PMD-food_photo-0005.jpg
doc_food_image_09a8259c6815,2,0.9777769093035696,0.7168538819428654,food,image,food-photo,data/food-photo/PMD-food_photo-0002.jpg
doc_food_image_08d0cd02cd68,2,0.9566227246119681,0.7089165670387876,food,image,food-photo,data/food-photo/PMD-food_photo-0010.jpg
doc_food_image_b73c2efe0c3f,2,1.0,0.7073398229890779,food,image,food-photo,data/food-photo/PMD-food_photo-0012.jpg
doc_food_image_c666991c9d62,2,0.9756722444416308,0.6843886026405899,food,image,food-photo,data/food-photo/PMD-food_photo-0004.jpg
doc_food_image_08fcd29ea2be,2,0.9691232140674364,0.6509508670122484,food,image,food-photo,data/food-photo/PMD-food_photo-0008.jpg
doc_food_image_9ad12b6e9af5,2,0.9415332108591187,0.6361049765184981,food,image,food-photo,data/food-photo/PMD-food_photo-0003.jpg
doc_food_recipe_text_22d2b3af16e0,3,1.0,0.7938335223175018,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0002.txt
doc_food_recipe_text_45c2601ff37f,3,1.0,0.7611257254156525,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0001.txt
doc_food_recipe_text_8be8c4ac7c0f,3,1.0,0.7602992406589137,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0007.txt
doc_food_recipe_text_0cb6e64ece03,3,1.0,0.7575192864133071,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0004.txt
doc_food_recipe_text_33b7b22fdc40,3,1.0,0.7387347164051254,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0003.txt
doc_food_recipe_text_c540c416b743,3,0.994974866389986,0.73267190943203,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0006.txt
doc_food_recipe_text_d33b6a5e7c76,3,0.994974866389986,0.7313157005178211,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0009.txt
doc_food_recipe_text_3955ce3b09ee,3,0.9910407772083646,0.7241000695662172,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0005.txt
doc_food_recipe_text_34a9ca82c4dd,3,0.9616182893567833,0.7180609713362018,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0010.txt
doc_food_recipe_text_b81104cdb1c5,3,0.9119755487198143,0.6522105521971899,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0008.txt
doc_syllabus_pdf_1f163415a45e,4,1.0,0.8803755177531591,syllabus,pdf,syllabus-pdf,data/syllabus-pdf/sylabus_75-78.pdf
doc_syllabus_pdf_1239e7f56f85,4,1.0,0.872491540763183,syllabus,pdf,syllabus-pdf,data/syllabus-pdf/sylabus_102-104.pdf
doc_syllabus_pdf_27ad81027410,4,1.0,0.8436033717820025,syllabus,pdf,syllabus-pdf,data/syllabus-pdf/Przedsiębiorczość.pdf
doc_syllabus_pdf_9c98e25c3027,4,0.9960227972508469,0.829951651741829,syllabus,pdf,syllabus-pdf,data/syllabus-pdf/Logika - ogólnouniwersytecki.pdf
doc_syllabus_pdf_d8dd53c977c0,4,0.9880987639493904,0.8206748860002819,syllabus,pdf,syllabus-pdf,data/syllabus-pdf/PW - Mechanika I.pdf
doc_receipt_image_f7f942b79ae3,5,1.0,0.8444094036198047,receipt,image,receipt-photo,data/receipt-photo/1016-receipt.jpg
doc_receipt_image_b9650aab683e,5,1.0,0.8170754498593475,receipt,image,receipt-photo,data/receipt-photo/1012-receipt.jpg
doc_receipt_image_7f9a0f32382a,5,1.0,0.8141241029907358,receipt,image,receipt-photo,data/receipt-photo/1014-receipt.jpg
doc_receipt_image_d9b0f78a1c5e,5,1.0,0.8125667381698486,receipt,image,receipt-photo,data/receipt-photo/1009-receipt.jpg
doc_receipt_image_fd5819de17d5,5,1.0,0.8095824978683543,receipt,image,receipt-photo,data/receipt-photo/1000-receipt.jpg
doc_receipt_image_52c23e545bad,5,1.0,0.8085138628480146,receipt,image,receipt-photo,data/receipt-photo/1010-receipt.jpg
doc_receipt_image_bd4452af14a1,5,1.0,0.8068121609664567,receipt,image,receipt-photo,data/receipt-photo/1015-receipt.jpg
doc_invoice_image_5cda8c30be15,5,1.0,0.8042864451507177,invoice,image,invoice-photo,data/invoice-photo/Invoice_1.jpg
doc_receipt_image_a79c6373f73e,5,1.0,0.796074848531579,receipt,image,receipt-photo,data/receipt-photo/1018-receipt.jpg
doc_receipt_image_34b25b8dd505,5,1.0,0.7959563269769266,receipt,image,receipt-photo,data/receipt-photo/1003-receipt.jpg
doc_receipt_image_37743021b927,5,1.0,0.7953345267625371,receipt,image,receipt-photo,data/receipt-photo/1011-receipt.jpg
doc_receipt_image_a55ef7f17177,5,1.0,0.7952884028139721,receipt,image,receipt-photo,data/receipt-photo/1005-receipt.jpg
doc_invoice_image_da0c50581dfa,5,1.0,0.7947753167260517,invoice,image,invoice-photo,data/invoice-photo/Invoice_4.jpg
doc_receipt_image_cb801364a6bb,5,1.0,0.7890725785793098,receipt,image,receipt-photo,data/receipt-photo/1004-receipt.jpg
doc_receipt_image_c120791fcc09,5,1.0,0.785240340923709,receipt,image,receipt-photo,data/receipt-photo/1013-receipt.jpg
doc_receipt_image_71c1a562a437,5,1.0,0.7816716651607463,receipt,image,receipt-photo,data/receipt-photo/1019-receipt.jpg
doc_invoice_image_363250a12cc3,5,1.0,0.7810443539308959,invoice,image,invoice-photo,data/invoice-photo/Invoice_10.jpg
doc_receipt_image_5c8533785758,5,1.0,0.7803938896987213,receipt,image,receipt-photo,data/receipt-photo/1001-receipt.jpg
doc_receipt_image_5c7b97b783b7,5,1.0,0.7797499815285738,receipt,image,receipt-photo,data/receipt-photo/1020-receipt.jpg
doc_receipt_image_46c1a92092b9,5,1.0,0.7655269875756217,receipt,image,receipt-photo,data/receipt-photo/1006-receipt.jpg
doc_invoice_image_69f1f1ec902b,5,0.9511031662037326,0.7484146696358724,invoice,image,invoice-photo,data/invoice-photo/Invoice_172.jpg
doc_invoice_image_a663c9fedfa4,5,0.9123692564350673,0.7447394046323099,invoice,image,invoice-photo,data/invoice-photo/Invoice_3.jpg
doc_receipt_image_d6700878ae7d,5,1.0,0.7363034865927092,receipt,image,receipt-photo,data/receipt-photo/1008-receipt.jpg
doc_receipt_image_554387b53814,5,1.0,0.7355887386390664,receipt,image,receipt-photo,data/receipt-photo/1007-receipt.jpg
doc_receipt_image_81a1cf0223b2,5,0.8949439847610768,0.7350356713519219,receipt,image,receipt-photo,data/receipt-photo/1017-receipt.jpg
doc_invoice_image_673f49fd7844,5,1.0,0.7347378937135303,invoice,image,invoice-photo,data/invoice-photo/Invoice_111.jpg
doc_invoice_image_dc46ee89b0ad,5,1.0,0.7222205159957307,invoice,image,invoice-photo,data/invoice-photo/Invoice_29.jpg
doc_receipt_image_437631a9c6a5,5,0.9535254665469358,0.7206526516009049,receipt,image,receipt-photo,data/receipt-photo/1002-receipt.jpg
doc_invoice_image_f4ef605e88f9,5,0.9531900204173877,0.7091872927778231,invoice,image,invoice-photo,data/invoice-photo/Invoice_150.jpg
doc_invoice_image_b2ba41459a6f,5,1.0,0.7065364157636466,invoice,image,invoice-photo,data/invoice-photo/Invoice_22.jpg
doc_invoice_image_f96795326f99,5,0.979799529998762,0.6957044005330151,invoice,image,invoice-photo,data/invoice-photo/Invoice_98.jpg
doc_invoice_image_c4927c1599a7,5,0.9400035719597446,0.6846665271804553,invoice,image,invoice-photo,data/invoice-photo/Invoice_7.jpg
doc_invoice_image_1f73ddb53dd8,5,0.885848928615661,0.6771728560892946,invoice,image,invoice-photo,data/invoice-photo/Invoice_11.jpg
doc_invoice_image_ee5f3c7d7ff4,5,0.7913968969892929,0.6356589330798657,invoice,image,invoice-photo,data/invoice-photo/Invoice_110.jpg
doc_invoice_image_d1378464cd99,5,0.8599197038137952,0.6201436564708365,invoice,image,invoice-photo,data/invoice-photo/Invoice_25.jpg
doc_invoice_image_dbd56dc823ff,5,0.8360185831583238,0.5950389982995328,invoice,image,invoice-photo,data/invoice-photo/Invoice_47.jpg
doc_warranty_image_7bfd2f78cf5e,6,0.9926622887160861,0.8096023359451212,warranty,image,warranty-photo,data/warranty-photo/1.png
doc_medical_image_fd614787def2,6,1.0,0.7977390052396445,medical,image,medical-photo,data/medical-photo/1_5.jpg
doc_warranty_image_9a60e984cdc4,6,0.9926622887160861,0.7772428361009611,warranty,image,warranty-photo,data/warranty-photo/samurio.png
doc_warranty_image_e8087bfaa3c4,6,0.9875835089125782,0.7683783132157718,warranty,image,warranty-photo,data/warranty-photo/080d61650378d79afcbe17b08b4b11c4.jpg
doc_medical_image_e407bfa8d7b5,6,1.0,0.7635650274670794,medical,image,medical-photo,data/medical-photo/alab03.png
doc_medical_image_6bec73c7211e,6,1.0,0.7258914365595535,medical,image,medical-photo,data/medical-photo/tarczyca.png
doc_warranty_image_2db25c391d09,6,0.9875835089125782,0.7130687705955778,warranty,image,warranty-photo,data/warranty-photo/karta-screen.png
doc_medical_image_5c4928c8fd6b,6,1.0,0.67493381332334,medical,image,medical-photo,data/medical-photo/skanowanie-biorezonansem-magnetycznym-naturalna-medycyna.jpg
doc_diploma_image_2c26dd63a66c,7,1.0,0.8855651716934974,diploma,image,diploma-photo,data/diploma-photo/79-58441.jpg
doc_diploma_image_5d3fd76f56b6,7,1.0,0.8786412285507693,diploma,image,diploma-photo,data/diploma-photo/IMG_20181203_102859.jpg
doc_diploma_image_b5f3b8dbe89a,7,1.0,0.864530300490034,diploma,image,diploma-photo,data/diploma-photo/b71afa26-032d-4a89-828b-56d1e5517729.jpg
doc_diploma_image_cd37c7c75d3c,7,0.942707345467221,0.8260209542986447,diploma,image,diploma-photo,data/diploma-photo/625349231_1503334948458785_8918976821722731327_n.jpg
