item_id,cluster_id,membership_prob,cosine_to_centroid,category,modality,source_tag,file_path
doc_invoice_image_5cda8c30be15,-1,0.0,,invoice,image,invoice-photo,data/invoice-photo/Invoice_1.jpg
doc_invoice_image_69f1f1ec902b,-1,0.0,,invoice,image,invoice-photo,data/invoice-photo/Invoice_172.jpg
doc_invoice_image_d1378464cd99,-1,0.0,,invoice,image,invoice-photo,data/invoice-photo/Invoice_25.jpg
doc_invoice_image_f4ef605e88f9,-1,0.0,,invoice,image,invoice-photo,data/invoice-photo/Invoice_150.jpg
doc_invoice_image_f96795326f99,-1,0.0,,invoice,image,invoice-photo,data/invoice-photo/Invoice_98.jpg
doc_medical_image_5c4928c8fd6b,-1,0.0,,medical,image,medical-photo,data/medical-photo/skanowanie-biorezonansem-magnetycznym-naturalna-medycyna.jpg
doc_medical_image_6bec73c7211e,-1,0.0,,medical,image,medical-photo,data/medical-photo/tarczyca.png
doc_medical_image_e407bfa8d7b5,-1,0.0,,medical,image,medical-photo,data/medical-photo/alab03.png
doc_medical_image_fd614787def2,-1,0.0,,medical,image,medical-photo,data/medical-photo/1_5.jpg
doc_receipt_image_37743021b927,-1,0.0,,receipt,image,receipt-photo,data/receipt-photo/1011-receipt.jpg
doc_receipt_image_81a1cf0223b2,-1,0.0,,receipt,image,receipt-photo,data/receipt-photo/1017-receipt.jpg
doc_receipt_image_a79c6373f73e,-1,0.0,,receipt,image,receipt-photo,data/receipt-photo/1018-receipt.jpg
doc_receipt_image_bd4452af14a1,-1,0.0,,receipt,image,receipt-photo,data/receipt-photo/1015-receipt.jpg
doc_syllabus_pdf_1f163415a45e,0,1.0,0.8276349246390984,syllabus,pdf,syllabus-pdf,data/syllabus-pdf/sylabus_75-78.pdf
doc_syllabus_pdf_27ad81027410,0,1.0,0.8268759054845771,syllabus,pdf,syllabus-pdf,data/syllabus-pdf/Przedsiębiorczość.pdf
doc_syllabus_pdf_1239e7f56f85,0,1.0,0.8244556283936139,syllabus,pdf,syllabus-pdf,data/syllabus-pdf/sylabus_102-104.pdf
doc_syllabus_pdf_9c98e25c3027,0,1.0,0.8151425757399529,syllabus,pdf,syllabus-pdf,data/syllabus-pdf/Logika - ogólnouniwersytecki.pdf
